"IPs";"Hostname";"FQDNs";"Description";"Asset Value";"Operating System";"Latitude";"Longitude";"Host ID";"External Asset";"Device Type"
"10.60.0.42";"erlang";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.65";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.27";"hqit-sambasrv-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.74";"hqit-ldaptest-03";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.100";"hqit-inaz-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.5";"hqit-ldap-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.12";"hqit-weblogic-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.30";"hqit-watest-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.58";"hqit-kmsweb-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.63";"hqit-intllts-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.39";"hqit-hanab1-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.47";"hqit-demetra-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.55";"hqit-cerlts-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.57";"td-scults-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.61";"hqit-cerintlwalts-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.6";"hqit-ldap-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.7";"hqit-ubimdb-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.33";"hqit-pushtest-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.49";"hqit-cerlts-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.36";"hqit-mqadebian6-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.121";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.1";"hqit-fw";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.2";"hqit-fw-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.4";"hqit-fw-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.26";"hqit-redmine-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.68";"hqit-postgres12-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.10";"lixie2";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.54";"td-morfeo-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.59";"hqit-kmsdb-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.62";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.11";"sviluppo-php-iakke";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.45";"hqit-alienvault-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.48";"hqit-giudiziario-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.3";"hqit-fw-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.120";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.122";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.18";"hqit-qnap-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.24";"hqit-morfeo-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.34";"hqit-pushtest-03";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.67";"hqit-postgres12-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.73";"hqit-ldaptest-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.22";"hqit-maven-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.32";"hqit-pushtest-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.41";"dev-erlang";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.53";"td-ltsmasked-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.23";"hqit-ubimarketing-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.28";"hqit-kronos-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.35";"hqit-git-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.69";"hqit-lvmtest-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.64";"testgit";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.71";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.72";"hqit-ldaptest-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.51";"hqit-ltsbck-01";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.70";"";"";"";"2";"";"45.4707";"9.1889";"";"";""
"10.60.0.89";"hqit-jasper-02";"";"";"2";"";"45.4707";"9.1889";"";"";""
